key,parent_key,has_parent
SPARK-10235,SPARK-7751,1
SPARK-10236,SPARK-7751,1
SPARK-10237,SPARK-7751,1
SPARK-10239,SPARK-7751,1
SPARK-10238,SPARK-7751,1
SPARK-1024,,0
SPARK-10240,SPARK-7751,1
SPARK-10241,SPARK-7751,1
SPARK-10242,SPARK-7751,1
SPARK-10243,SPARK-7751,1
SPARK-10244,SPARK-7751,1
SPARK-10245,,0
SPARK-10246,,0
SPARK-10248,,0
SPARK-10247,,0
SPARK-10249,,0
SPARK-1025,,0
SPARK-10250,,0
SPARK-10253,,0
SPARK-10252,SPARK-9565,1
SPARK-10251,,0
SPARK-10254,,0
SPARK-10255,,0
SPARK-10257,,0
SPARK-10256,,0
SPARK-10258,SPARK-7751,1
SPARK-10259,SPARK-7751,1
SPARK-1026,,0
SPARK-10260,SPARK-7751,1
SPARK-10261,SPARK-7751,1
SPARK-10262,SPARK-7751,1
SPARK-10263,SPARK-7751,1
SPARK-10265,SPARK-7751,1
SPARK-10266,SPARK-7751,1
SPARK-10264,SPARK-7751,1
SPARK-10267,SPARK-7751,1
SPARK-10268,SPARK-7751,1
SPARK-10269,SPARK-7751,1
SPARK-1027,,0
SPARK-10270,,0
SPARK-10271,SPARK-7751,1
SPARK-10273,SPARK-7751,1
SPARK-10272,SPARK-7751,1
SPARK-10274,SPARK-7751,1
SPARK-10275,SPARK-7751,1
SPARK-10276,SPARK-7751,1
SPARK-10277,SPARK-7751,1
SPARK-10278,SPARK-7751,1
SPARK-1028,,0
SPARK-10279,SPARK-7751,1
SPARK-10280,SPARK-7751,1
SPARK-10281,SPARK-7751,1
SPARK-10284,SPARK-7751,1
SPARK-10283,SPARK-7751,1
SPARK-10282,SPARK-7751,1
SPARK-10285,SPARK-7751,1
SPARK-10286,SPARK-7751,1
SPARK-10287,,0
SPARK-10288,,0
SPARK-10289,SPARK-6774,1
SPARK-1029,,0
SPARK-10290,,0
SPARK-10292,,0
SPARK-10291,,0
SPARK-10294,,0
SPARK-10293,,0
SPARK-10295,,0
SPARK-10296,,0
SPARK-10298,,0
SPARK-10297,SPARK-9932,1
SPARK-10299,,0
SPARK-1030,,0
SPARK-10300,,0
SPARK-10302,,0
SPARK-10304,,0
SPARK-10301,,0
SPARK-10305,,0
SPARK-10306,,0
SPARK-10307,,0
SPARK-10308,,0
SPARK-10309,,0
SPARK-1031,,0
SPARK-10310,,0
SPARK-10313,,0
SPARK-10311,,0
SPARK-10312,,0
SPARK-10314,,0
SPARK-10315,,0
SPARK-10317,,0
SPARK-10316,,0
SPARK-10318,,0
SPARK-10319,,0
SPARK-1032,,0
SPARK-10322,,0
SPARK-10320,,0
SPARK-10321,,0
SPARK-10323,,0
SPARK-10324,,0
SPARK-10325,,0
SPARK-10327,,0
SPARK-10326,,0
SPARK-10328,,0
SPARK-10329,,0
SPARK-10330,,0
SPARK-1033,,0
SPARK-10331,,0
SPARK-10332,,0
SPARK-10333,,0
SPARK-10334,,0
SPARK-10336,,0
SPARK-10335,,0
SPARK-1034,,0
SPARK-10337,,0
SPARK-10338,,0
SPARK-10339,,0
SPARK-10340,,0
SPARK-10341,,0
SPARK-10342,,0
SPARK-10344,,0
SPARK-10343,,0
SPARK-10345,,0
SPARK-10346,,0
SPARK-10349,,0
SPARK-10348,,0
SPARK-10347,,0
SPARK-1035,,0
SPARK-10350,,0
SPARK-10351,,0
SPARK-10352,,0
SPARK-10353,,0
SPARK-10354,,0
SPARK-10355,,0
SPARK-10356,,0
SPARK-10359,,0
SPARK-10358,,0
SPARK-10357,,0
SPARK-1036,,0
SPARK-10360,,0
SPARK-10361,,0
SPARK-10362,,0
SPARK-10363,,0
SPARK-10364,SPARK-8824,1
SPARK-10365,SPARK-8824,1
SPARK-10366,SPARK-8824,1
SPARK-10367,SPARK-8824,1
SPARK-10368,,0
SPARK-10369,,0
SPARK-1037,,0
SPARK-10370,,0
SPARK-10371,,0
SPARK-10372,SPARK-8987,1
SPARK-10373,,0
SPARK-10374,,0
SPARK-10376,,0
SPARK-10375,,0
SPARK-10377,,0
SPARK-10378,,0
SPARK-10379,,0
SPARK-1038,,0
SPARK-10380,,0
SPARK-10381,,0
SPARK-10382,SPARK-11337,1
SPARK-10383,,0
SPARK-10384,,0
SPARK-10386,SPARK-4587,1
SPARK-10385,,0
SPARK-10387,,0
SPARK-10389,,0
SPARK-1039,,0
SPARK-10390,,0
SPARK-10391,,0
SPARK-10393,,0
SPARK-10392,,0
SPARK-10394,,0
SPARK-10395,,0
SPARK-10396,,0
SPARK-10397,,0
SPARK-10398,,0
SPARK-10399,,0
SPARK-1040,,0
SPARK-10400,,0
SPARK-10402,,0
SPARK-10401,,0
SPARK-10403,,0
SPARK-10404,,0
SPARK-10405,,0
SPARK-10406,,0
SPARK-10407,,0
SPARK-10408,,0
SPARK-10409,,0
SPARK-1041,,0
SPARK-10411,,0
SPARK-10410,,0
SPARK-10412,,0
SPARK-10414,,0
SPARK-10413,,0
SPARK-10415,,0
SPARK-10416,,0
SPARK-10417,,0
SPARK-10418,,0
SPARK-10419,,0
SPARK-1042,,0
SPARK-10423,,0
SPARK-10421,,0
SPARK-10422,,0
SPARK-10420,,0
SPARK-10424,,0
SPARK-10425,,0
SPARK-10426,,0
SPARK-10427,,0
SPARK-10428,,0
SPARK-10429,SPARK-4366,1
SPARK-10430,,0
SPARK-10432,,0
SPARK-10431,,0
SPARK-1043,,0
SPARK-10434,,0
SPARK-10433,,0
SPARK-10436,,0
SPARK-10435,,0
SPARK-10437,,0
SPARK-10438,,0
SPARK-10439,,0
SPARK-10441,,0
SPARK-1044,,0
SPARK-10440,SPARK-9569,1
SPARK-10443,,0
SPARK-10442,,0
SPARK-10445,,0
SPARK-10444,,0
SPARK-10447,,0
SPARK-10446,,0
SPARK-10448,,0
SPARK-10449,,0
SPARK-10451,,0
SPARK-10452,,0
SPARK-10450,,0
SPARK-1045,,0
SPARK-10453,,0
SPARK-10456,,0
SPARK-10455,,0
SPARK-10454,,0
SPARK-10458,,0
SPARK-10457,,0
SPARK-10459,,0
SPARK-10461,,0
SPARK-10460,,0
SPARK-1046,,0
SPARK-10462,,0
SPARK-10463,,0
SPARK-10464,,0
SPARK-10465,,0
SPARK-1047,,0
SPARK-10468,,0
SPARK-10470,,0
SPARK-10469,,0
SPARK-10466,,0
SPARK-10467,,0
SPARK-10471,,0
SPARK-10472,,0
SPARK-10473,,0
SPARK-10474,,0
SPARK-10475,,0
SPARK-10478,,0
SPARK-10479,,0
SPARK-10477,,0
SPARK-1048,,0
SPARK-10476,,0
SPARK-10480,,0
SPARK-10482,,0
SPARK-10481,,0
SPARK-10483,,0
SPARK-10485,,0
SPARK-10488,,0
SPARK-10484,,0
SPARK-10487,,0
SPARK-10489,,0
SPARK-10486,,0
SPARK-1049,,0
SPARK-10492,,0
SPARK-10490,,0
SPARK-10491,,0
SPARK-10493,,0
SPARK-10494,,0
SPARK-10498,,0
SPARK-10496,,0
SPARK-10497,,0
SPARK-10495,,0
SPARK-10499,,0
SPARK-10500,,0
SPARK-10501,,0
SPARK-1050,,0
SPARK-10502,,0
SPARK-10503,,0
SPARK-10504,,0
SPARK-10507,,0
SPARK-10505,,0
SPARK-10506,,0
SPARK-10508,,0
SPARK-10509,,0
SPARK-1051,SPARK-1101,1
SPARK-10510,,0
SPARK-10511,,0
SPARK-10512,,0
SPARK-10513,SPARK-9941,1
SPARK-10514,,0
SPARK-10517,,0
SPARK-10515,,0
SPARK-10516,,0
SPARK-10518,,0
SPARK-10519,,0
SPARK-1052,,0
SPARK-10521,,0
SPARK-10522,,0
SPARK-10523,,0
SPARK-10524,,0
SPARK-10527,,0
SPARK-10526,,0
SPARK-10525,,0
SPARK-10528,,0
SPARK-1053,SPARK-1101,1
SPARK-10529,,0
SPARK-10530,,0
SPARK-10531,,0
SPARK-10532,,0
SPARK-10533,,0
SPARK-10535,,0
SPARK-10534,,0
SPARK-10536,,0
SPARK-10537,,0
SPARK-10539,,0
SPARK-10538,,0
SPARK-1054,,0
SPARK-10541,,0
SPARK-10540,,0
SPARK-10544,,0
SPARK-10542,,0
SPARK-10543,,0
SPARK-10545,,0
SPARK-10546,,0
SPARK-10547,,0
SPARK-10548,,0
SPARK-10549,,0
SPARK-10550,,0
SPARK-1055,,0
SPARK-10551,,0
SPARK-10552,,0
SPARK-10554,,0
SPARK-10553,,0
SPARK-10555,,0
SPARK-10556,,0
SPARK-10558,,0
SPARK-10557,,0
SPARK-10559,,0
SPARK-1056,,0
SPARK-10560,SPARK-10022,1
SPARK-10561,,0
SPARK-10563,,0
SPARK-10562,,0
SPARK-10564,,0
SPARK-10565,,0
SPARK-10566,,0
SPARK-10567,,0
